pl_name,pl_orbper,pl_rade,st_teff,pl_orbsmax,pl_insol,pl_eqt,log_orbper,log_insol,radius_earth_ratio,hz_proximity,habitable
K2-108 b,4.73401,5.28,5474.0,0.0573,762.0,1446.0,1.746415111442915,6.637258031284457,5.28,0.0,0
K2-110 b,13.86375,2.592,5010.0,0.10207,27.7,638.0,2.6989253627696517,3.3568971227655755,2.592,0.0,0
K2-111 b,5.3518,1.82,5775.0,0.0565,490.0,1309.0,1.8487382373030397,6.19644412779452,1.82,0.0,0
K2-114 b,11.3909311,10.44677001,4920.0,0.0943,40.0,701.0,2.5169648421314457,3.713572066704308,10.44677001,0.0,0
K2-12 b,8.28246,2.44,5672.0,0.0792,185.0,1026.0,2.2281265978758653,5.225746673713202,2.44,0.0,0
K2-131 b,0.3693038,1.69,5120.0,0.00936,4070.0,2223.0,0.314302435492783,8.31164394850298,1.69,0.0,0
K2-133 e,26.5841,1.73,3655.0,0.1346,1.8,296.0,3.3172395197647346,1.0296194171811583,1.73,0.11764705882352944,1
K2-136 b,7.9752,1.014,4500.0,0.0707,33.5,610.0,2.194465218248618,3.5409593240373143,1.014,0.0,0
K2-136 c,17.30713,3.0,4500.0,0.1185,11.91,470.0,2.9072906014525306,2.558002204858551,3.0,0.0,0
K2-136 d,25.575,1.565,4500.0,0.1538,7.07,420.0,3.2799709242280115,2.0881534822818573,1.565,0.0,0
K2-138 b,2.35321,1.49,5283.0,0.0338,424.51,1157.0,1.2099180960030518,6.053288449499899,1.49,0.0,0
K2-138 c,3.56015,2.26,5283.0,0.0442,248.95,1012.0,1.517355517722117,5.521260897859579,2.26,0.0,0
K2-138 d,5.40484,2.46,5283.0,0.0575,147.12,888.0,1.8570539545526832,4.998022756045412,2.46,0.0,0
K2-138 e,8.26147,3.11,5283.0,0.0792,77.79,757.0,2.225862783359285,4.366786085257597,3.11,0.0,0
K2-138 f,12.75758,2.73,5283.0,0.1064,43.02,653.0,2.6215899449448643,3.7846440760983158,2.73,0.0,0
K2-138 g,41.96645,3.18,5283.0,0.2287,9.29,445.0,3.7604195785955823,2.331172549845958,3.18,0.0,0
